created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at,,supporting
10/15/2020 0:38,1.32E+18,#ConvictedBigot #Branstad tells another tall tale. Did #Trump teach him 2 lie w/ a straight face? Best covid response in US when our 14 day infection rate is bouncing twixt #1 &amp; #4 in the US? 61 nursing homes infected? Home rule on masks gutted? #TrumpRallyDesMoines #IaPolitics https://t.co/S4Kzhx4ufQ,7,5,Twitter for Android,45413198,Bob Krause,KrauseForIowa,"Veteran Activist & Observer. frmr Carter Admin, frmr Senate candidate for Iowa. Prez at Veterans National Recovery Center.   RT is not   agreement.",6/7/2009 20:12,37722,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,04:03.0,,joe_biden
10/15/2020 1:13,1.32E+18,"""Melania Trump says son Barron tested positive for #COVID19, had no symptoms""

What the hell is this...?! Barron #Trump was an 8yo kid just ~last year!

Now...?! The dude looks like...(?) a ~30yo Ivan Drago!

#usatoday ...wtf?!

https://t.co/oomjdybzzO
@usatoday",0,0,Twitter Web App,9.14E+17,J. Mac Jordan,J_MacJordan,"PhD in #Philosophy, 2012. Why..? Well, Philosophy is quite lucrative & in demand 😱🤬😠 ...In Philosophy we argue w Logic - I prefer w Vulgarity & Insanity too.",9/28/2017 22:35,280,"Des Moines, USA",41.5910323,-93.6046655,Des Moines,United States of America,North America,Iowa,IA,07:30.1,,joe_biden
10/15/2020 1:32,1.32E+18,"Climate scientists are terrified of a 2nd #Trump term &amp;
#ClimateChange is only one of the reasons...

“I immediately worry about democratic institutions,” he says. “I worry about profound &amp; deep corruption at all levels, including the Justice Department.”

https://t.co/skoflu6Fqc",0,2,Twitter for Android,1941799362,#BLM Jon ⚓,dadiniowa,"Friend, husband & dad

#Art #Peace #Buddhism #SōtōZen #Veteran #Resistance #Zazen #Feminist #BLM #Egalitarian #FBR",10/6/2013 19:28,4550,"Waterloo, Iowa",42.4979693,-92.3329637,Waterloo,United States of America,North America,Iowa,IA,09:02.3,,joe_biden
10/15/2020 2:08,1.32E+18,"Tonight, #trump told Iowa he is leading by 6 points when every poll shows they are basically tied at this point. Does this man know how to say anything factual #TrumpIsALaughingStock",0,0,Twitter for Android,506898394,Lauren Reinhard,LaurSpearr,,2/28/2012 4:44,116,"Ankeny, IA",41.7318715,-93.6003837,,United States of America,North America,Iowa,IA,12:13.4,,joe_biden
10/15/2020 2:26,1.32E+18,"Once #DonaldTrump is no longer President the tea will be spilled. He’ll no longer be protected. 
Over time, the MAGA hat wearers will deny they ever supported him. 

Remember the trump supporters. 

NEVER EVER FORGET WHO THEY ARE.",5,2,Twitter for iPhone,28444641,Amber Missal Romero,AmberLyn3,Dog Mom. Cat Mom. Designer. Cyclist. DSM is home. I wish I was good at Twitter. 😂,4/2/2009 23:16,83,"Des Moines, IA",41.5910323,-93.6046655,Des Moines,United States of America,North America,Iowa,IA,13:43.3,,joe_biden
10/15/2020 2:34,1.32E+18,This does not come as a surprise given what #Trump told Bob Woodward on tape.  Downplaying #COVID19 publicly while he knew how dangerous it was is unforgivable https://t.co/yQZAdoTTGk,0,0,Twitter for iPhone,19472500,Brad Minnick,bjminnick,independent political observer & former diplomat whose journey continues in small town USA!,1/25/2009 1:17,196,"Clayton, NY",42.8547706,-91.3667151,,United States of America,North America,Iowa,IA,14:24.7,,joe_biden
10/15/2020 2:48,1.32E+18,"Iowa: Election news and updates: 
#Iowa #COVID19 hospitalization count highest 5 months. All #Trump has to say is ""I won't come back if I don't win Iowa."" : https://t.co/MaTNu7NERG: #TrumpSuperSpreaderEvent #TrumpSuperSpreader #DesMoines #VoteHimOut",0,0,Twitter Web App,1.30E+18,Sharon Holle,SharonHolle4,"Iowa State Leadership Council at Joe Biden for President, Activist, Runner, weight lifting, swimming, Starbucks Coffee, Red Wine, Friends, #TeamJoe",8/31/2020 5:04,249,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,15:37.1,,joe_biden
10/15/2020 2:53,1.32E+18,"Iowa: Election news and updates: 
#Iowa reports 11 #COVID19 deaths, 1,180 #coronavirus cases as hospitalizations continue to increase yet #Trump holds a rally with no mask or social distancing.: https://t.co/sbfojjt9Wu via @DMRegister : #TrumpSuperSpreaderEvent #VoteHimOut",0,0,Twitter Web App,1.30E+18,Sharon Holle,SharonHolle4,"Iowa State Leadership Council at Joe Biden for President, Activist, Runner, weight lifting, swimming, Starbucks Coffee, Red Wine, Friends, #TeamJoe",8/31/2020 5:04,249,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,16:00.7,,joe_biden
10/15/2020 4:55,1.32E+18,#Trump rally in #DesMoines tonight was packed! Thank you @realDonaldTrump for all you do! #MAGA2020LandslideVictory https://t.co/OVU2EkLUi9,0,0,Twitter for Android,7.39E+17,"To Ride, Shoot Straight & Speak the Truth",Beelezebubba,"Heyoka Warrior, Defender of Liberty, Philosopher King, Reclaimer of Time, Bringer of Truth and A Damn Fine Model American 🇺🇸🇺🇸🇺🇸",6/5/2016 5:42,421,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,25:58.2,,joe_biden
10/15/2020 8:56,1.32E+18,People Are Furious With NBC Over Trump Town Hall https://t.co/4clKkpqyuI #BoycottNBC #DonaldTrump represents lawlessness &amp; Disorder. #FascistTrump #LiarInChief #TrumpDeathCult #JoeBiden #JoeBidenKamalaHarris2020 #ABCNews #AbcTownHall,0,0,Twitter Web App,126313550,Neptune78,OhmsLaw78,#JoeBidenForPresident2020 #JoeBiden #JoeBidenKamalaHarris2020 #FoxNews mostly = #FakeNews Bored with life :-\,3/25/2010 13:12,1021,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,39:14.2,,joe_biden
10/15/2020 11:07,1.32E+18,@kathrynw5 @Bidar411 Cheating is the only way #Trump can win,0,0,Twitter Web App,7.46E+17,LMB,LMarieB1978,When Congress is made to live like the rest of Americans then there will be a true reform in government #BidenHarris2020ToSaveAmerica,6/24/2016 10:55,480,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,45:54.3,,joe_biden
10/15/2020 11:11,1.32E+18,@JenniferJJacobs Its so hard to believe anything that comes out of the White House. There is no proof that #Trump had COVID. I feel like it was a Reality show hoax.,1,0,Twitter Web App,7.46E+17,LMB,LMarieB1978,When Congress is made to live like the rest of Americans then there will be a true reform in government #BidenHarris2020ToSaveAmerica,6/24/2016 10:55,480,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,46:13.7,,joe_biden
10/15/2020 11:39,1.32E+18,@katiecouric I disagree. The ratings will show us who Americans want to listen too. I think it's disgraceful after the way #Trump has treated the Press that any of the you would give him the time of day. All he does is lie and you all help him by airing his lies.,1,0,Twitter Web App,7.46E+17,LMB,LMarieB1978,When Congress is made to live like the rest of Americans then there will be a true reform in government #BidenHarris2020ToSaveAmerica,6/24/2016 10:55,480,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,48:00.5,,joe_biden
